no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
1;Mitsubishi;1970;Rp290.000.000,00;Manual;27499;Petrol/Gasoline/Bensin;Rp1.800.000,00;28;1,8;Rp15.000.000,00;53
2;Honda civic type R;2022;Rp400.000.000,00;Manual;20000;Diesel/Solar;Rp150.000,00;25;1,2;Rp1.170.000.000,00;1
3;Toyota Innova V;2017;Rp370.000.000,00;Manual;5000000;Petrol/Gasoline/Bensin;Rp2.000.000,00;28;1,8;Rp245.000.000,00;6
4;Toyota Agya;2020;Rp136.000.000,00;Manual;24089;Petrol/Gasoline/Bensin;Rp1.725.250,00;20;1;Rp120.000.000,00;3
5;Toyota Agya;2017;Rp200.000.000,00;Manual;19400;Petrol/Gasoline/Bensin;Rp1.200.000,00;22;1,2;Rp120.000.000,00;6
6;Toyota Rush;2022;Rp280.000.000,00;Manual;30063;Petrol/Gasoline/Bensin;Rp145.000,00;28;1,8;Rp170.000.000,00;1
7;Daihatsu Ayla;2014;Rp117.000.000,00;Manual;68000;Petrol/Gasoline/Bensin;Rp1.000.000,00;22;1;Rp95.000.000,00;9
8;Mitsubishi Mirage;2012;Rp173.000.000,00;Automatic;150000;Petrol/Gasoline/Bensin;Rp2.400.000,00;20;1,2;Rp160.000.000,00;11
9;Toyota Avanza G;2010;Rp180.000.000,00;Manual;20810;Petrol/Gasoline/Bensin;Rp200.000,00;26;1,6;Rp99.500.000,00;13
10;Toyota Inova;2012;Rp200.000.000,00;Manual;12000;Petrol/Gasoline/Bensin;Rp1.300.000,00;33;2,3;Rp250.000.000,00;11
11;BMW 3X13;2023;Rp125.000.000,00;Semi-Auto;25000;Petrol/Gasoline/Bensin;Rp500.000,00;23;1,3;Rp1.300.000.000,00;0
12;Toyota Supra mk4;2002;Rp2.147.483.647,00;Manual;1020;Petrol/Gasoline/Bensin;Rp8.000.000,00;40;3;Rp650.000.000,00;21
13;Daihatsu Gran Max;2018;Rp200.000.000,00;Manual;149000;Petrol/Gasoline/Bensin;Rp3.000.000,00;22;1,5;Rp95.000.000,00;5
